"sample_metag","sample_metat","sample_metag_nreads","sample_internal","Layer","polar","Latitude","Longitude","Temperature","Oxygen","sample_id"
"TARA_SAMEA2621216_METAG","TARA_SAMEA2621218_METAT",403460422,"TARA_B100000519","DCM","non polar",-21.0292,-35.3498,21.16596,200.32465,"Sample_22"
"TARA_SAMEA2621232_METAG","TARA_SAMEA2621236_METAT",424020818,"TARA_B100000749","MES","non polar",-20.9315,-35.1794,4.664275,191.413187,"Sample_23"
"TARA_SAMEA2621198_METAG","TARA_SAMEA2621198_METAT",424436250,"TARA_B100000513","SRF","non polar",-20.9354,-35.1803,23.374825,206.23185,"Sample_24"
"TARA_SAMEA2621272_METAG","TARA_SAMEA2621274_METAT",430656824,"TARA_B100000530","DCM","non polar",-30.1484,-43.2705,19.32335,216.6547,"Sample_25"
"TARA_SAMEA2621254_METAG","TARA_SAMEA2621254_METAT",441678325,"TARA_B100000524","SRF","non polar",-30.1367,-43.2899,20.07775,221.13845,"Sample_26"
"TARA_SAMEA2621423_METAG","TARA_SAMEA2621423_METAT",421509351,"TARA_B100000767","DCM","non polar",-47.2007,-57.9446,7.154875,306.1555,"Sample_27"
"TARA_SAMEA2621401_METAG","TARA_SAMEA2621401_METAT",258544317,"TARA_B100000768","SRF","non polar",-47.1863,-58.2902,7.579417,303.147667,"Sample_28"
"TARA_SAMEA2621487_METAG","TARA_SAMEA2621487_METAT",421294492,"TARA_B100000780","SRF","polar",-60.2287,-60.6476,1.9034,338.526,"Sample_29"
"TARA_SAMEA2621536_METAG","TARA_SAMEA2621536_METAT",408472760,"TARA_B100000795","DCM","polar",-62.2231,-49.2139,-0.792395,326.6803,"Sample_30"
"TARA_SAMEA2621509_METAG","TARA_SAMEA2621509_METAT",367146022,"TARA_B100000787","SRF","polar",-62.0385,-49.529,0.73159,344.81235,"Sample_31"
"TARA_SAMEA2621812_METAG","TARA_SAMEA2621814_METAT",323689442,"TARA_B100001059","DCM","non polar",-33.9116,-73.0537,15.376875,227.7609,"Sample_32"
"TARA_SAMEA2621779_METAG","TARA_SAMEA2621782_METAT",268909371,"TARA_B100001063","SRF","non polar",-34.0614,-73.1066,18.122955,243.0408,"Sample_33"
"TARA_SAMEA2621859_METAG","TARA_SAMEA2621863_METAT",362908092,"TARA_B100000989","SRF","non polar",-29.7238,-101.1604,23.84533,204.54175,"Sample_34"
"TARA_SAMEA2622021_METAG","TARA_SAMEA2622025_METAT",242410076,"TARA_B100001029","DCM","non polar",-25.826,-111.7294,20.2127,208.821,"Sample_35"
"TARA_SAMEA2622048_METAG","TARA_SAMEA2622054_METAT",424126700,"TARA_B100001013","MES","non polar",-25.8076,-111.6906,7.96837,154.6701,"Sample_36"
"TARA_SAMEA2621990_METAG","TARA_SAMEA2621996_METAT",244676940,"TARA_B100001027","SRF","non polar",-25.8051,-111.7202,25.18103,200.40835,"Sample_37"
"TARA_SAMEA2622074_METAG","TARA_SAMEA2622078_METAT",309918448,"TARA_B100000886","SRF","non polar",-21.146,-104.787,23.88925,203.37975,"Sample_38"
"TARA_SAMEA2622097_METAG","TARA_SAMEA2622097_METAT",364119349,"TARA_B100000963","SRF","non polar",-13.0023,-95.9759,25.349495,201.0109,"Sample_39"
"TARA_SAMEA2622219_METAG","TARA_SAMEA2622219_METAT",399149105,"TARA_B100000902","DCM","non polar",-5.2669,-85.2732,19.781235,104.9968,"Sample_40"
